574.86446  	0.00030  	 700  	2.53e+05  	 1.19e-01  	  C+ 	149 657.0392  	-  	167 047.6082  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  	 2s22p5(2P°3/2)4d  	 2[5/2]°  	 2  		T6976 	L4498
576.05885  	0.00004  	 700  	5.06e+05  	 2.39e-01  	  C+ 	149 657.0392  	-  	167 011.5643  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  	 2s22p5(2P°3/2)4d  	 2[3/2]°  	 2  		T6976 	L3451
576.40525  	0.00030  	 30  	5.50e+05  	 3.64e-01  	  C+ 	149 657.0392  	-  	167 001.1327  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  	 2s22p5(2P°3/2)4d  	 2[7/2]°  	 3  		T6976 	L4498
576.44188  	0.00004  	 7000  	1.12e+07  	 9.53e+00  	  B 	149 657.0392  	-  	167 000.0317  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  	 2s22p5(2P°3/2)4d  	 2[7/2]°  	 4  		T6976 	L3451
577.03067  	0.00030  	 500  	4.04e+05  	 1.15e-01  	  C+ 	152 970.7328  	-  	170 296.0099  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 0  	 2s22p5(2P°1/2)5d  	 2[3/2]°  	 1  		T6976 	L4498
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
580.40900  	0.00030  	 750  	1.88e+05  	 1.27e-01  	  C+ 	149 824.2215  	-  	167 048.6694  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°3/2)4d  	 2[5/2]°  	 3  		T6976 	L4498
580.44496  	0.00004  	 5000  	3.60e+06  	 1.74e+00  	  C+ 	149 824.2215  	-  	167 047.6082  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°3/2)4d  	 2[5/2]°  	 2  		T6976 	L3451
581.14066  	0.00004  	 3000  	7.37e+05  	 2.14e-01  	  C+ 	149 824.2215  	-  	167 026.9923  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°3/2)4d  	 2[3/2]°  	 1  		T6976 	L3451
581.66219  	0.00030  	 500  	1.73e+05  	 8.4e-02  	  C 	149 824.2215  	-  	167 011.5643  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°3/2)4d  	 2[3/2]°  	 2  		T6976 	L4498
